level_0,index,Date,Type,Seconds,Duration,Description,Lat,Lon,full_address,neighbourhood,city,province,country_code,country,location_data_raw
1188,40755,4/7/2011 23:00,other,120,00:2 mins,FROM WHAT I COULD SEE IT FLEW THROUGH ABOUT 20 OR 30 MILES OF SKY IN LESS THAN 6 OR 7 SECONDS,44.383333,-79.7,"45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada",,Barrie,Ontario,ca,Canada,"{'place_id': '332384999849', 'licence': 'https://locationiq.com/attribution', 'lat': '44.383453', 'lon': '-79.700045', 'display_name': '45, Perry St, Barrie, Simcoe, Ontario, L4N 2G3, Canada', 'boundingbox': ['44.383453', '44.383453', '-79.700045', '-79.700045'], 'importance': 0.2, 'address': {'house_number': '45', 'road': 'Perry St', 'city': 'Barrie', 'county': 'Simcoe', 'state': 'Ontario', 'postcode': 'L4N 2G3', 'country': 'Canada', 'country_code': 'ca'}}"
1189,40825,4/8/2003 23:30,other,3600,1hr,it was hovering and rotating,49.516667,-115.766667,"304, Slater Rd NW, Cranbrook, East Kootenay, British Columbia, V1C 3Z8, Canada",,Cranbrook,British Columbia,ca,Canada,"{'place_id': '333620618205', 'licence': 'https://locationiq.com/attribution', 'lat': '49.516659', 'lon': '-115.766447', 'display_name': '304, Slater Rd NW, Cranbrook, East Kootenay, British Columbia, V1C 3Z8, Canada', 'boundingbox': ['49.516659', '49.516659', '-115.766447', '-115.766447'], 'importance': 0.2, 'address': {'house_number': '304', 'road': 'Slater Rd NW', 'city': 'Cranbrook', 'county': 'East Kootenay', 'state': 'British Columbia', 'postcode': 'V1C 3Z8', 'country': 'Canada', 'country_code': 'ca'}}"
1190,40827,4/8/2004 00:30,diamond,2400,40.00 min,Two bright orange diamond UFO&#39s over the Burrell Creek and Arrow Lake drainages British Columbia.,49.05,-118.46666699999999,"255, Prospect Dr, Kootenay Boundary, British Columbia, V0H 1H2, Canada",,,British Columbia,ca,Canada,"{'place_id': '333675513725', 'licence': 'https://locationiq.com/attribution', 'lat': '49.05029', 'lon': '-118.467751', 'display_name': '255, Prospect Dr, Kootenay Boundary, British Columbia, V0H 1H2, Canada', 'boundingbox': ['49.05029', '49.05029', '-118.467751', '-118.467751'], 'importance': 0.2, 'address': {'house_number': '255', 'road': 'Prospect Dr', 'county': 'Kootenay Boundary', 'state': 'British Columbia', 'postcode': 'V0H 1H2', 'country': 'Canada', 'country_code': 'ca'}}"
1191,40844,4/8/2004 23:00,other,3,approx: 3 seconds,HBCCUFO CANADIAN REPORT:  Object was gold with red underneath.,46.183333,-62.88333299999999,"124, Millview Rd, Queens, Prince Edward Island, C0A 2E0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '332354849177', 'licence': 'https://locationiq.com/attribution', 'lat': '46.182491', 'lon': '-62.885367', 'display_name': '124, Millview Rd, Queens, Prince Edward Island, C0A 2E0, Canada', 'boundingbox': ['46.182491', '46.182491', '-62.885367', '-62.885367'], 'importance': 0.175, 'address': {'house_number': '124', 'road': 'Millview Rd', 'county': 'Queens', 'state': 'Prince Edward Island', 'postcode': 'C0A 2E0', 'country': 'Canada', 'country_code': 'ca'}}"
1192,40846,4/8/2004 23:20,light,45,approx: 45 seconds.,HBCCUFO CANADIAN REPORT:  Pink Spherical Shaped Object.,54.766667,-127.16666699999999,"283, Hudson Bay Mountain Rd, Bulkley-Nechako, British Columbia, V0J 2N0, Canada",,,British Columbia,ca,Canada,"{'place_id': '334278389619', 'licence': 'https://locationiq.com/attribution', 'lat': '54.767012', 'lon': '-127.167273', 'display_name': '283, Hudson Bay Mountain Rd, Bulkley-Nechako, British Columbia, V0J 2N0, Canada', 'boundingbox': ['54.767012', '54.767012', '-127.167273', '-127.167273'], 'importance': 0.2, 'address': {'house_number': '283', 'road': 'Hudson Bay Mountain Rd', 'county': 'Bulkley-Nechako', 'state': 'British Columbia', 'postcode': 'V0J 2N0', 'country': 'Canada', 'country_code': 'ca'}}"
1193,40856,4/8/2005 23:00,unknown,120,2 mins approx,SIX ORANGE LIGHT MOVING QUICKLY ACROSS A NIGHT SKY,43.433333,-79.666667,"Oakville, Halton Region, Golden Horseshoe, Ontario, Canada",,Oakville,Ontario,ca,Canada,"{'place_id': '236350407', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'relation', 'osm_id': '2407500', 'lat': '43.447436', 'lon': '-79.666672', 'display_name': 'Oakville, Halton Region, Golden Horseshoe, Ontario, Canada', 'address': {'city': 'Oakville', 'county': 'Halton Region', 'state_district': 'Golden Horseshoe', 'state': 'Ontario', 'postcode': 'L6J 1J2', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['43.3648541', '43.5284371', '-79.8109532', '-79.6198948']}"
1194,40860,4/8/2006 21:38,triangle,1380,23 minutes,Vertically oriented boomerang shaped object observed over city.,51.083333,-114.08333300000001,"10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada",Queens Park Village,Calgary,Alberta,ca,Canada,"{'place_id': '332627885326', 'licence': 'https://locationiq.com/attribution', 'lat': '51.084013', 'lon': '-114.084131', 'display_name': '10 Street NW, Queens Park Village, Calgary, Alberta, T2K 1R8, Canada', 'boundingbox': ['51.079635', '51.08879', '-114.087212', '-114.083092'], 'importance': 0.2, 'address': {'road': '10 Street NW', 'neighbourhood': 'Queens Park Village', 'city': 'Calgary', 'state': 'Alberta', 'postcode': 'T2K 1R8', 'country': 'Canada', 'country_code': 'ca'}}"
1195,40960,4/9/1997 00:00,unknown,30,30 seconds,On this particular night my sister and I went out to our side porch to have a cigarette when she noticed something suddenly appear to t,42.966667,-82.4,"207, Stuart Street, Sarnia, Lambton, Ontario, N7T 8C5, Canada",,Sarnia,Ontario,ca,Canada,"{'place_id': '333538270680', 'osm_type': 'node', 'osm_id': '2217344215', 'licence': 'https://locationiq.com/attribution', 'lat': '42.966625', 'lon': '-82.400058', 'display_name': '207, Stuart Street, Sarnia, Lambton, Ontario, N7T 8C5, Canada', 'boundingbox': ['42.966625', '42.966625', '-82.400058', '-82.400058'], 'importance': 0.225, 'address': {'house_number': '207', 'road': 'Stuart Street', 'city': 'Sarnia', 'county': 'Lambton', 'state': 'Ontario', 'postcode': 'N7T 8C5', 'country': 'Canada', 'country_code': 'ca'}}"
1196,41026,4/9/2006 10:50,formation,10,10 sec,I just saw a formation of 4 red light in the sky. One of the light shift the 3 others light too fast to be a normal air plane.,45.5,-73.583333,"1374, Avenue du Docteur-Penfield, Montagne, Montreal, Montreal, Quebec, H3G 1B7, Canada",Montagne,Montreal,Quebec,ca,Canada,"{'place_id': '333969664104', 'osm_type': 'node', 'osm_id': '2439184484', 'licence': 'https://locationiq.com/attribution', 'lat': '45.499912', 'lon': '-73.58333', 'display_name': '1374, Avenue du Docteur-Penfield, Montagne, Montreal, Montreal, Quebec, H3G 1B7, Canada', 'boundingbox': ['45.499912', '45.499912', '-73.58333', '-73.58333'], 'importance': 0.2, 'address': {'house_number': '1374', 'road': 'Avenue du Docteur-Penfield', 'neighbourhood': 'Montagne', 'city': 'Montreal', 'county': 'Montreal', 'state': 'Quebec', 'postcode': 'H3G 1B7', 'country': 'Canada', 'country_code': 'ca'}}"
1197,41038,4/9/2007 13:30,disk,300,5 minutes,Flying disc that rotated slowly&#44 was caught on tape.,49.316667,-123.066667,"365, East 10th Street, Central Lonsdale, North Vancouver, Greater Vancouver, British Columbia, V7L 2C9, Canada",Central Lonsdale,North Vancouver,British Columbia,ca,Canada,"{'place_id': '332004763535', 'osm_type': 'way', 'osm_id': '165235853', 'licence': 'https://locationiq.com/attribution', 'lat': '49.316515', 'lon': '-123.066729', 'display_name': '365, East 10th Street, Central Lonsdale, North Vancouver, Greater Vancouver, British Columbia, V7L 2C9, Canada', 'boundingbox': ['49.316515', '49.316515', '-123.066729', '-123.066729'], 'importance': 0.2, 'address': {'house_number': '365', 'road': 'East 10th Street', 'neighbourhood': 'Central Lonsdale', 'city': 'North Vancouver', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V7L 2C9', 'country': 'Canada', 'country_code': 'ca'}}"
1198,41068,4/9/2010 21:25,unknown,300,5 min,irratically moving objects very high in the sky ...the object was lit,49.883333,-97.166667,"217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada",Wolseley,Winnipeg,Manitoba,ca,Canada,"{'place_id': '332340179034', 'licence': 'https://locationiq.com/attribution', 'lat': '49.883303', 'lon': '-97.166855', 'display_name': '217, Ethelbert St, Wolseley, Winnipeg, Division No. 11, Manitoba, R3G 1V8, Canada', 'boundingbox': ['49.883303', '49.883303', '-97.166855', '-97.166855'], 'importance': 0.2, 'address': {'house_number': '217', 'road': 'Ethelbert St', 'neighbourhood': 'Wolseley', 'city': 'Winnipeg', 'county': 'Division No. 11', 'state': 'Manitoba', 'postcode': 'R3G 1V8', 'country': 'Canada', 'country_code': 'ca'}}"
1199,41078,4/9/2011 12:00,sphere,240,4 minutes,Brantford Metallic orbs dancing at 500 ft.&#44 then pursued by black helicopter,43.133333,-80.266667,"Earl Haig Park, Brantford, Brant, Ontario, N3S 1X7, Canada",,Brantford,Ontario,ca,Canada,"{'place_id': '334130102171', 'osm_type': 'way', 'osm_id': '217056927', 'licence': 'https://locationiq.com/attribution', 'lat': '43.133299', 'lon': '-80.265153', 'display_name': 'Earl Haig Park, Brantford, Brant, Ontario, N3S 1X7, Canada', 'boundingbox': ['43.1318019', '43.1343455', '-80.2668631', '-80.2634185'], 'importance': 0.175, 'address': {'name': 'Earl Haig Park', 'city': 'Brantford', 'county': 'Brant', 'state': 'Ontario', 'postcode': 'N3S 1X7', 'country': 'Canada', 'country_code': 'ca'}}"
1200,41086,4/9/2011 22:28,formation,180,3 minutes,Formation of lights moving across the night sky&#44 burlington&#44 ont&#44can.,43.316667,-79.8,"1245, Lakeshore Rd., Burlington, Halton, Ontario, L7R 1R4, Canada",,Burlington,Ontario,ca,Canada,"{'place_id': '333844249434', 'licence': 'https://locationiq.com/attribution', 'lat': '43.316557', 'lon': '-79.801887', 'display_name': '1245, Lakeshore Rd., Burlington, Halton, Ontario, L7R 1R4, Canada', 'boundingbox': ['43.316557', '43.316557', '-79.801887', '-79.801887'], 'importance': 0.175, 'address': {'house_number': '1245', 'road': 'Lakeshore Rd.', 'city': 'Burlington', 'county': 'Halton', 'state': 'Ontario', 'postcode': 'L7R 1R4', 'country': 'Canada', 'country_code': 'ca'}}"
1201,41110,4/9/2013 01:00,cigar,10,10 seconds,Long narrow cigar type object without wings or lights in sky at nights,53.333333,-113.53333300000001,"18 Avenue, Leduc, Alberta, T9E 7T5, Canada",,,Alberta,ca,Canada,"{'place_id': '330336624657', 'licence': 'https://locationiq.com/attribution', 'lat': '53.333288', 'lon': '-113.534271', 'display_name': '18 Avenue, Leduc, Alberta, T9E 7T5, Canada', 'boundingbox': ['53.333263', '53.333312', '-113.537224', '-113.531319'], 'importance': 0.2, 'address': {'road': '18 Avenue', 'county': 'Leduc', 'state': 'Alberta', 'postcode': 'T9E 7T5', 'country': 'Canada', 'country_code': 'ca'}}"
1202,41132,4/9/2014 20:35,cigar,180,2-3 minutes,I saw a brightly lit object hovering near Lake Ontario in Port Hope&#44 Canada&#44 and suddenly it vanished - in a split second.,43.95,-78.3,"54, Thomas Street, Port Hope, Ontario, L1A 0C7, Canada",,Port Hope,Ontario,ca,Canada,"{'place_id': '333803837486', 'osm_type': 'node', 'osm_id': '924745217', 'licence': 'https://locationiq.com/attribution', 'lat': '43.949978', 'lon': '-78.300131', 'display_name': '54, Thomas Street, Port Hope, Ontario, L1A 0C7, Canada', 'boundingbox': ['43.949978', '43.949978', '-78.300131', '-78.300131'], 'importance': 0.2, 'address': {'house_number': '54', 'road': 'Thomas Street', 'city': 'Port Hope', 'state': 'Ontario', 'postcode': 'L1A 0C7', 'country': 'Canada', 'country_code': 'ca'}}"
1203,41144,5/10/1964 19:00,,900,15 minutes,When I was babysitting my brother and sister in Vancouver we heard a sound that was loud and deep-so loud we ran outside to find the so,49.25,-123.13333300000001,"1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada",Shaughnessy,Vancouver,British Columbia,ca,Canada,"{'place_id': '332937248295', 'licence': 'https://locationiq.com/attribution', 'lat': '49.24977', 'lon': '-123.133178', 'display_name': '1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada', 'boundingbox': ['49.24977', '49.24977', '-123.133178', '-123.133178'], 'importance': 0.2, 'address': {'house_number': '1251', 'road': 'W King Edward Ave', 'neighbourhood': 'Shaughnessy', 'city': 'Vancouver', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V6H 3B2', 'country': 'Canada', 'country_code': 'ca'}}"
1204,41153,5/10/1979 17:00,circle,55,55 seconds,TEN BRIGHT SPHERES WERE DESCENDING THROUGH THE CLOUDS&#44 ONCE THEY WERE CLEAR THROUGH MY CAMERA LENS AND I SNAPPED THE PICTURE THEY ASCEN,45.5,-73.583333,"1374, Avenue du Docteur-Penfield, Montagne, Montreal, Montreal, Quebec, H3G 1B7, Canada",Montagne,Montreal,Quebec,ca,Canada,"{'place_id': '333969664104', 'osm_type': 'node', 'osm_id': '2439184484', 'licence': 'https://locationiq.com/attribution', 'lat': '45.499912', 'lon': '-73.58333', 'display_name': '1374, Avenue du Docteur-Penfield, Montagne, Montreal, Montreal, Quebec, H3G 1B7, Canada', 'boundingbox': ['45.499912', '45.499912', '-73.58333', '-73.58333'], 'importance': 0.2, 'address': {'house_number': '1374', 'road': 'Avenue du Docteur-Penfield', 'neighbourhood': 'Montagne', 'city': 'Montreal', 'county': 'Montreal', 'state': 'Quebec', 'postcode': 'H3G 1B7', 'country': 'Canada', 'country_code': 'ca'}}"
1205,41212,5/10/2002 22:00,unknown,6,one hour,At least 10 aircraft with very bright lights circling the Brampton area with no set pattern and altitudes.This is the third time we hav,43.683333,-79.766667,"41, West St, Brampton, Peel, Ontario, L6X 1C8, Canada",,Brampton,Ontario,ca,Canada,"{'place_id': '331690463884', 'licence': 'https://locationiq.com/attribution', 'lat': '43.683188', 'lon': '-79.766735', 'display_name': '41, West St, Brampton, Peel, Ontario, L6X 1C8, Canada', 'boundingbox': ['43.683188', '43.683188', '-79.766735', '-79.766735'], 'importance': 0.2, 'address': {'house_number': '41', 'road': 'West St', 'city': 'Brampton', 'county': 'Peel', 'state': 'Ontario', 'postcode': 'L6X 1C8', 'country': 'Canada', 'country_code': 'ca'}}"
1206,41222,5/10/2003 22:55,light,15,15 seconds,HBCCUFO CANADIAN REPORT:  The light was rather bright and traveling quickly.,54.5,-128.583333,"2090, Kalum St, Kitimat-Stikine, British Columbia, V8G 4S6, Canada",,,British Columbia,ca,Canada,"{'place_id': '333587786060', 'licence': 'https://locationiq.com/attribution', 'lat': '54.500561', 'lon': '-128.585877', 'display_name': '2090, Kalum St, Kitimat-Stikine, British Columbia, V8G 4S6, Canada', 'boundingbox': ['54.500561', '54.500561', '-128.585877', '-128.585877'], 'importance': 0.175, 'address': {'house_number': '2090', 'road': 'Kalum St', 'county': 'Kitimat-Stikine', 'state': 'British Columbia', 'postcode': 'V8G 4S6', 'country': 'Canada', 'country_code': 'ca'}}"
1207,41225,5/10/2004 00:00,unknown,40,30-40 seconds,Looking for what i saw i found this site on the internet 5-7 green [lime] and red [huge]&#44 huge oval type shape lights traveling from th,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
1208,41226,5/10/2004 00:30,formation,10,5-10sec,3 or 4 orange round lights with tails in the front&#44 2 in middle&#44 and 3 or 4 in the back.,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
1209,41227,5/10/2004 00:30,formation,10,5-10sec,lights in the north,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
1210,41228,5/10/2004 00:37,formation,20,20 seconds,Silent&#44 fast&#44 low traveling lights fly over Edmonton Sunday night,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
1211,41229,5/10/2004 00:45,formation,20,20 seconds,7 objects travelling VERY FAST&#44 changing postions&#44 travelling in formation&#44 and creating no noise.,53.55,-113.5,"10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada",Central McDougall,Edmonton,Alberta,ca,Canada,"{'place_id': '332986084112', 'osm_type': 'node', 'osm_id': '877824266', 'licence': 'https://locationiq.com/attribution', 'lat': '53.549915', 'lon': '-113.500077', 'display_name': '10404, 106 Avenue NW, Central McDougall, Edmonton, Alberta, T5H 2X1, Canada', 'boundingbox': ['53.549915', '53.549915', '-113.500077', '-113.500077'], 'importance': 0.2, 'address': {'house_number': '10404', 'road': '106 Avenue NW', 'neighbourhood': 'Central McDougall', 'city': 'Edmonton', 'state': 'Alberta', 'postcode': 'T5H 2X1', 'country': 'Canada', 'country_code': 'ca'}}"
1212,41233,5/10/2004 20:00,triangle,300,5 mins,triangular shape (grey-black colour) with 3 stars of a whitish hue on each tip&#44 one  star larger than the other 2. hovering&#44 floating.,50.183333,-98.31666700000001,"Provincial Road 240, Delta, Manitoba, Canada",,,Manitoba,ca,Canada,"{'place_id': '101492105', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'way', 'osm_id': '78288544', 'lat': '50.1822835142585', 'lon': '-98.3185461913032', 'display_name': 'Provincial Road 240, Delta, Manitoba, Canada', 'address': {'road': 'Provincial Road 240', 'town': 'Delta', 'state': 'Manitoba', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['50.125', '50.1865394', '-98.3209467', '-98.30746']}"
1213,41301,5/10/2011 17:15,circle,2700,~45 minutes,Circular Object over Vernon&#44 BC May10/11,46.183333,-62.88333299999999,"124, Millview Rd, Queens, Prince Edward Island, C0A 2E0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '332354849177', 'licence': 'https://locationiq.com/attribution', 'lat': '46.182491', 'lon': '-62.885367', 'display_name': '124, Millview Rd, Queens, Prince Edward Island, C0A 2E0, Canada', 'boundingbox': ['46.182491', '46.182491', '-62.885367', '-62.885367'], 'importance': 0.175, 'address': {'house_number': '124', 'road': 'Millview Rd', 'county': 'Queens', 'state': 'Prince Edward Island', 'postcode': 'C0A 2E0', 'country': 'Canada', 'country_code': 'ca'}}"
1214,41332,5/11/1997 04:27,circle,300,5 minute,Got up to go to washroom at 4:27am looked out my window and saw a shining objet hovering outside for about 2 minutes then speed off.,45.416667,-75.7,"255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada",Centretown,Ottawa,Ontario,ca,Canada,"{'place_id': '331308888021', 'osm_type': 'way', 'osm_id': '482238181', 'licence': 'https://locationiq.com/attribution', 'lat': '45.416689', 'lon': '-75.699972', 'display_name': '255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada', 'boundingbox': ['45.416689', '45.416689', '-75.699972', '-75.699972'], 'importance': 0.225, 'address': {'house_number': '255', 'road': 'Nepean Street', 'neighbourhood': 'Centretown', 'city': 'Ottawa', 'county': 'Ottawa', 'state': 'Ontario', 'postcode': 'K2P 0B7', 'country': 'Canada', 'country_code': 'ca'}}"
1215,41337,5/11/1999 09:00,triangle,30,30 seconds,((HOAX.  Note flawed date.))   UFO SEEN OVER COLD LAKE,54.465,-110.18305600000001,"16 Street, Cold Lake, Bonnyville No. 87, Alberta, T9M 0A3, Canada",,Cold Lake,Alberta,ca,Canada,"{'place_id': '331400978495', 'licence': 'https://locationiq.com/attribution', 'lat': '54.465051', 'lon': '-110.182251', 'display_name': '16 Street, Cold Lake, Bonnyville No. 87, Alberta, T9M 0A3, Canada', 'boundingbox': ['54.452392', '54.470989', '-110.182259', '-110.182213'], 'importance': 0.2, 'address': {'road': '16 Street', 'city': 'Cold Lake', 'county': 'Bonnyville No. 87', 'state': 'Alberta', 'postcode': 'T9M 0A3', 'country': 'Canada', 'country_code': 'ca'}}"
1216,41380,5/11/2005 00:05,diamond,45,45 sec,lights over southwestern ontario tues. may 11 2005  2 diamond shaped ships in &quot;northern lightslike&quot; purple cloud.,42.983333,-81.25,"149, Dundas St, London, Middlesex, Ontario, N6A 1G3, Canada",,London,Ontario,ca,Canada,"{'place_id': '332177776292', 'licence': 'https://locationiq.com/attribution', 'lat': '42.983337', 'lon': '-81.249936', 'display_name': '149, Dundas St, London, Middlesex, Ontario, N6A 1G3, Canada', 'boundingbox': ['42.983337', '42.983337', '-81.249936', '-81.249936'], 'importance': 0.225, 'address': {'house_number': '149', 'road': 'Dundas St', 'city': 'London', 'county': 'Middlesex', 'state': 'Ontario', 'postcode': 'N6A 1G3', 'country': 'Canada', 'country_code': 'ca'}}"
1217,41392,5/11/2006 06:38,triangle,120,2 min,&quot;V&quot; shaped object seen near Pilot Mound Manitoba.,49.2,-98.9,"421, Donald St, Pilot Mound, Division No.  4, Manitoba, R0G 1P0, Canada",,Pilot Mound,Manitoba,ca,Canada,"{'place_id': '331955792864', 'licence': 'https://locationiq.com/attribution', 'lat': '49.200062', 'lon': '-98.900111', 'display_name': '421, Donald St, Pilot Mound, Division No.  4, Manitoba, R0G 1P0, Canada', 'boundingbox': ['49.200062', '49.200062', '-98.900111', '-98.900111'], 'importance': 0.2, 'address': {'house_number': '421', 'road': 'Donald St', 'city': 'Pilot Mound', 'county': 'Division No.  4', 'state': 'Manitoba', 'postcode': 'R0G 1P0', 'country': 'Canada', 'country_code': 'ca'}}"
1218,41423,5/11/2009 22:51,light,360,6 mins,Second identical sighting,46.3,-63.216667,"2734, North York River Rd - Rte 248, Queens, Prince Edward Island, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '333355016655', 'licence': 'https://locationiq.com/attribution', 'lat': '46.301447', 'lon': '-63.218906', 'display_name': '2734, North York River Rd - Rte 248, Queens, Prince Edward Island, Canada', 'boundingbox': ['46.301447', '46.301447', '-63.218906', '-63.218906'], 'importance': 0.175, 'address': {'house_number': '2734', 'road': 'North York River Rd - Rte 248', 'county': 'Queens', 'state': 'Prince Edward Island', 'country': 'Canada', 'country_code': 'ca'}}"
1219,41427,5/11/2010 13:00,light,240,approx. 4 mins,Sighted 5 circular lights,45.416667,-75.7,"255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada",Centretown,Ottawa,Ontario,ca,Canada,"{'place_id': '331308888021', 'osm_type': 'way', 'osm_id': '482238181', 'licence': 'https://locationiq.com/attribution', 'lat': '45.416689', 'lon': '-75.699972', 'display_name': '255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada', 'boundingbox': ['45.416689', '45.416689', '-75.699972', '-75.699972'], 'importance': 0.225, 'address': {'house_number': '255', 'road': 'Nepean Street', 'neighbourhood': 'Centretown', 'city': 'Ottawa', 'county': 'Ottawa', 'state': 'Ontario', 'postcode': 'K2P 0B7', 'country': 'Canada', 'country_code': 'ca'}}"
1220,41450,5/11/2012 11:16,circle,40,40 seconds,Round White Translucent Object Making Fast Loops to Loops fading in and out,43.866667,-78.93333299999999,"Swiss Chalet, Whitby, Ontario, L1N 3W2, Canada",,Whitby,Ontario,ca,Canada,"{'place_id': '332443010952', 'osm_type': 'node', 'osm_id': '3736054548', 'licence': 'https://locationiq.com/attribution', 'lat': '43.867017', 'lon': '-78.932695', 'display_name': 'Swiss Chalet, Whitby, Ontario, L1N 3W2, Canada', 'boundingbox': ['43.867017', '43.867017', '-78.932695', '-78.932695'], 'importance': 0.2, 'address': {'name': 'Swiss Chalet', 'city': 'Whitby', 'state': 'Ontario', 'postcode': 'L1N 3W2', 'country': 'Canada', 'country_code': 'ca'}}"
1221,41609,5/1/1997 23:00,triangle,300,1/2 hr,approx 100m long x 30m at back&#44 pointed at front. it was soundless and moving approx 10kph. the only way that i can explain it is to sa,43.45,-80.5,"27, Oak St, Kitchener, Waterloo, Ontario, N2G 2B2, Canada",,Kitchener,Ontario,ca,Canada,"{'place_id': '332116691600', 'licence': 'https://locationiq.com/attribution', 'lat': '43.449865', 'lon': '-80.499975', 'display_name': '27, Oak St, Kitchener, Waterloo, Ontario, N2G 2B2, Canada', 'boundingbox': ['43.449865', '43.449865', '-80.499975', '-80.499975'], 'importance': 0.2, 'address': {'house_number': '27', 'road': 'Oak St', 'city': 'Kitchener', 'county': 'Waterloo', 'state': 'Ontario', 'postcode': 'N2G 2B2', 'country': 'Canada', 'country_code': 'ca'}}"
1222,41669,5/1/2003 22:30,light,900,15 minutes,Red light and bright white flash seen to the West,49.166667,-121.95,"46060, Third Ave, Chilliwack, Fraser Valley, British Columbia, V2P 1R4, Canada",,Chilliwack,British Columbia,ca,Canada,"{'place_id': '333933929469', 'licence': 'https://locationiq.com/attribution', 'lat': '49.166828', 'lon': '-121.949946', 'display_name': '46060, Third Ave, Chilliwack, Fraser Valley, British Columbia, V2P 1R4, Canada', 'boundingbox': ['49.166828', '49.166828', '-121.949946', '-121.949946'], 'importance': 0.2, 'address': {'house_number': '46060', 'road': 'Third Ave', 'city': 'Chilliwack', 'county': 'Fraser Valley', 'state': 'British Columbia', 'postcode': 'V2P 1R4', 'country': 'Canada', 'country_code': 'ca'}}"
